<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MICEX,60,20120103,100000,1408.0800000,1431.5700000,1408.0800000,1427.5000000,3405454572
MICEX,60,20120103,110000,1427.8300000,1432.6000000,1427.2900000,1432.4300000,1741726239
MICEX,60,20120103,120000,1432.3900000,1432.8100000,1425.5300000,1430.8100000,2051095332
MICEX,60,20120103,130000,1430.8800000,1433.3400000,1429.2800000,1429.4000000,2164762010
MICEX,60,20120103,140000,1429.3800000,1430.6600000,1428.5700000,1429.5100000,1261901915
MICEX,60,20120103,150000,1430.0400000,1433.2400000,1429.5100000,1432.0000000,2130059116
MICEX,60,20120103,160000,1432.2700000,1437.4600000,1431.9500000,1437.3500000,2496221657
MICEX,60,20120103,170000,1437.3100000,1441.5800000,1437.2800000,1437.9800000,2395619504
MICEX,60,20120103,180000,1438.0200000,1445.5600000,1437.4500000,1444.7600000,4110852590
MICEX,60,20120103,190000,1444.5600000,1447.6600000,1444.5600000,1446.6100000,12363069
MICEX,60,20120103,200000,1446.5900000,1447.3000000,1445.7000000,1446.1400000,8263869
MICEX,60,20120103,210000,1446.1600000,1446.6800000,1444.2100000,1444.3300000,7613090
MICEX,60,20120103,220000,1444.3300000,1444.8400000,1444.2100000,1444.7200000,2440082
MICEX,60,20120103,230000,1444.7200000,1444.9100000,1443.8200000,1444.8100000,1937114
MICEX,60,20120104,100000,1444.7900000,1445.7300000,1439.4400000,1445.2200000,2520257169
MICEX,60,20120104,110000,1445.2700000,1447.8200000,1444.8100000,1445.3900000,2284458269
MICEX,60,20120104,120000,1445.1000000,1453.2200000,1437.6200000,1439.3700000,7274792050
MICEX,60,20120104,130000,1439.2400000,1448.1000000,1438.3100000,1444.9200000,2859867078
MICEX,60,20120104,140000,1444.9400000,1448.0100000,1443.8900000,1446.5700000,1576057905
MICEX,60,20120104,150000,1446.8000000,1449.2300000,1443.3600000,1444.8900000,2322335422
MICEX,60,20120104,160000,1444.7300000,1446.8300000,1440.7000000,1443.4000000,1989391958
MICEX,60,20120104,170000,1443.2200000,1445.9500000,1439.5400000,1443.4700000,2175691017
MICEX,60,20120104,180000,1443.4700000,1447.9000000,1442.1800000,1447.5900000,2063692696
MICEX,60,20120104,190000,1447.2800000,1449.4800000,1447.2800000,1449.0500000,30579192
MICEX,60,20120104,200000,1449.0500000,1450.5100000,1449.0500000,1450.3400000,6157870
MICEX,60,20120104,210000,1450.2900000,1450.4500000,1450.1200000,1450.4500000,2656138
MICEX,60,20120104,220000,1450.4000000,1450.8700000,1450.0300000,1450.8700000,3535948
MICEX,60,20120104,230000,1450.6300000,1450.6400000,1450.6100000,1450.6400000,86526
MICEX,60,20120105,100000,1449.0700000,1458.1400000,1447.1000000,1452.9900000,3029192330
MICEX,60,20120105,110000,1452.9900000,1457.5500000,1449.7500000,1456.9400000,1791228390
MICEX,60,20120105,120000,1456.9000000,1457.5200000,1442.6400000,1446.1300000,4203339645
MICEX,60,20120105,130000,1445.4500000,1445.6800000,1439.7700000,1439.9700000,2313043781
MICEX,60,20120105,140000,1439.8400000,1442.7200000,1434.3800000,1434.7000000,2770971392
MICEX,60,20120105,150000,1434.5700000,1439.2700000,1432.9400000,1438.1100000,1868774860
MICEX,60,20120105,160000,1437.8900000,1439.3100000,1436.3800000,1437.1700000,1462190849
MICEX,60,20120105,170000,1437.1600000,1446.6000000,1436.2300000,1446.6000000,4488096754
MICEX,60,20120105,180000,1446.7600000,1449.0100000,1434.3900000,1434.9100000,3698904063
MICEX,60,20120105,190000,1434.9600000,1437.6500000,1434.9600000,1437.3800000,15781746
MICEX,60,20120105,200000,1437.2400000,1438.5100000,1437.2400000,1438.2300000,2490025
MICEX,60,20120105,210000,1438.2500000,1439.0300000,1438.2500000,1439.0300000,2372595
