<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MICEX,60,20090111,100000,632.5000000,639.9300000,630.2700000,639.8200000,1860721902
MICEX,60,20090111,110000,639.8800000,641.6400000,634.6100000,639.5100000,1653758912
MICEX,60,20090111,120000,639.5100000,642.0300000,637.1300000,637.9800000,793951086
MICEX,60,20090111,130000,637.9800000,638.6900000,636.7300000,637.6200000,482069439
MICEX,60,20090111,140000,637.6300000,638.2600000,636.7200000,636.7200000,330635735
MICEX,60,20090111,150000,636.7200000,636.7200000,631.7800000,633.8900000,953751392
MICEX,60,20090111,160000,633.8500000,634.0500000,630.6400000,631.7900000,772348361
MICEX,60,20090111,170000,631.8400000,635.3600000,631.7800000,634.5900000,557266118
MICEX,60,20090111,180000,634.6000000,636.8900000,634.4400000,635.4000000,704757918
MICEX,60,20090112,100000,639.0500000,642.8700000,638.8200000,640.2400000,1038504394
MICEX,60,20090112,110000,640.2300000,645.8500000,639.8200000,645.5800000,2014087465
MICEX,60,20090112,120000,645.5400000,656.2300000,645.5400000,654.0600000,3528786832
MICEX,60,20090112,130000,654.0900000,654.7200000,650.0700000,650.4000000,1571630525
MICEX,60,20090112,140000,650.3900000,652.3000000,648.1400000,648.6100000,909301747
MICEX,60,20090112,150000,648.5600000,653.9600000,648.5600000,651.3400000,1164280221
MICEX,60,20090112,160000,651.3700000,653.6000000,650.4100000,652.5900000,876507399
MICEX,60,20090112,170000,652.6800000,661.5200000,652.6700000,657.5600000,2555996544
MICEX,60,20090112,180000,657.5800000,659.0600000,652.3300000,653.2800000,1468384354
MICEX,60,20090113,100000,650.1700000,650.1700000,645.0200000,645.3200000,1709064060
MICEX,60,20090113,110000,645.1000000,648.7400000,643.3000000,648.1900000,1475476432
MICEX,60,20090113,120000,648.1900000,648.2000000,642.0400000,643.9300000,1849269862
MICEX,60,20090113,130000,643.9400000,652.2200000,643.8200000,646.8600000,2484346804
MICEX,60,20090113,140000,646.8500000,648.2800000,644.0800000,645.7600000,1416622693
MICEX,60,20090113,150000,645.7600000,650.0000000,645.6800000,649.2000000,1506952347
MICEX,60,20090113,160000,649.2300000,655.7600000,647.5800000,655.7600000,2081163746
MICEX,60,20090113,170000,655.7800000,658.7000000,651.8500000,658.7000000,2537743514
MICEX,60,20090113,180000,658.6900000,662.3800000,655.0700000,655.1600000,2590499831
MICEX,60,20090114,100000,657.8600000,670.2000000,657.8600000,666.0400000,2080771829
MICEX,60,20090114,110000,665.9400000,671.5900000,665.9400000,669.6400000,3041692152
