<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MICEX,60,20080109,100000,1897.1100000,1915.0900000,1895.1600000,1914.7600000,0
MICEX,60,20080109,110000,1914.7600000,1921.0000000,1912.4900000,1913.4800000,0
MICEX,60,20080109,120000,1913.4800000,1914.8900000,1901.9200000,1903.4700000,0
MICEX,60,20080109,130000,1903.4500000,1906.4200000,1901.7100000,1906.2100000,0
MICEX,60,20080109,140000,1906.1400000,1911.2700000,1906.1400000,1911.1200000,0
MICEX,60,20080109,150000,1911.0900000,1912.1700000,1907.0000000,1908.0900000,0
MICEX,60,20080109,160000,1907.9700000,1908.4000000,1898.9500000,1898.9500000,0
MICEX,60,20080109,170000,1898.9500000,1907.3500000,1895.5800000,1906.8600000,0
MICEX,60,20080110,100000,1909.9500000,1914.8300000,1908.7400000,1914.4700000,0
MICEX,60,20080110,110000,1914.4700000,1916.0600000,1905.0600000,1909.6400000,0
MICEX,60,20080110,120000,1909.5800000,1913.6500000,1908.3500000,1912.8100000,0
MICEX,60,20080110,130000,1912.7800000,1914.9900000,1909.8500000,1914.4100000,0
MICEX,60,20080110,140000,1914.4100000,1918.6100000,1913.9800000,1918.5200000,0
MICEX,60,20080110,150000,1918.5100000,1922.1900000,1914.9700000,1920.1900000,0
MICEX,60,20080110,160000,1920.1000000,1920.7700000,1912.9500000,1915.0100000,0
MICEX,60,20080110,170000,1915.0300000,1916.3200000,1911.2300000,1912.2900000,0
MICEX,60,20080111,100000,1910.8300000,1912.1000000,1901.6200000,1903.1000000,0
MICEX,60,20080111,110000,1903.1000000,1905.2200000,1901.6700000,1902.6500000,0
MICEX,60,20080111,120000,1902.6600000,1911.8600000,1901.7400000,1909.2500000,0
MICEX,60,20080111,130000,1909.2700000,1916.4900000,1908.4500000,1915.2300000,0
MICEX,60,20080111,140000,1915.2500000,1920.2500000,1912.1900000,1912.6200000,0
MICEX,60,20080111,150000,1912.6200000,1916.3200000,1910.9900000,1913.3400000,0
