<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MICEX,60,20110111,100000,1687.7900000,1695.0700000,1687.7900000,1689.9200000,5221962473
MICEX,60,20110111,110000,1689.9600000,1692.2900000,1687.3700000,1691.0400000,8201428477
MICEX,60,20110111,120000,1690.9500000,1694.8200000,1689.8500000,1694.1400000,5331829168
MICEX,60,20110111,130000,1694.0700000,1699.5900000,1692.5700000,1699.0000000,6588548359
MICEX,60,20110111,140000,1699.0200000,1701.7900000,1698.6200000,1700.5300000,4620173966
MICEX,60,20110111,150000,1700.5700000,1705.4900000,1700.4300000,1705.2800000,4955626020
MICEX,60,20110111,160000,1705.3700000,1707.7300000,1704.8200000,1706.1800000,4571477884
MICEX,60,20110111,170000,1706.2000000,1710.0600000,1705.8600000,1709.5200000,4311830442
MICEX,60,20110111,180000,1709.7300000,1714.1700000,1708.4100000,1713.9700000,6137567930
MICEX,60,20110112,100000,1714.6100000,1721.6100000,1714.2700000,1721.5000000,5539723970
MICEX,60,20110112,110000,1721.5400000,1735.6100000,1720.8100000,1735.6100000,13054477121
MICEX,60,20110112,120000,1735.6300000,1738.3500000,1733.0000000,1738.1700000,8845637366
MICEX,60,20110112,130000,1738.1900000,1741.1600000,1737.0700000,1737.3600000,7050550651
MICEX,60,20110112,140000,1737.3400000,1740.3200000,1735.6600000,1739.2700000,4432050146
MICEX,60,20110112,150000,1739.2700000,1746.7800000,1739.0800000,1744.3500000,7832985773
MICEX,60,20110112,160000,1744.4300000,1752.8700000,1744.3500000,1750.1000000,7222517220
MICEX,60,20110112,170000,1750.1800000,1752.1100000,1748.1600000,1750.9700000,8511504792
MICEX,60,20110112,180000,1750.9500000,1759.8600000,1750.2700000,1759.4600000,10357094794
MICEX,60,20110113,100000,1759.6700000,1765.3200000,1750.8700000,1754.3800000,7389208236
MICEX,60,20110113,110000,1754.4700000,1754.6600000,1748.4600000,1754.2400000,8099946951
MICEX,60,20110113,120000,1754.2200000,1761.3500000,1753.1200000,1760.8900000,7176458994
MICEX,60,20110113,130000,1760.8200000,1768.1100000,1760.7900000,1762.6500000,8432655347
MICEX,60,20110113,140000,1762.6500000,1763.9900000,1760.1600000,1760.7000000,5187822294
MICEX,60,20110113,150000,1760.7200000,1766.3500000,1758.4600000,1763.0600000,8513747956
MICEX,60,20110113,160000,1763.0800000,1765.7200000,1752.9500000,1752.9600000,8441492647
MICEX,60,20110113,170000,1752.9600000,1755.8800000,1750.7700000,1753.8400000,6716287779
MICEX,60,20110113,180000,1753.9200000,1754.4100000,1743.7200000,1749.7500000,8464017330
MICEX,60,20110114,100000,1746.8300000,1748.6800000,1742.3700000,1747.7000000,3866829231
MICEX,60,20110114,110000,1747.5600000,1757.5600000,1747.5500000,1750.1400000,7799607611
MICEX,60,20110114,120000,1750.0700000,1751.3600000,1736.4600000,1737.6300000,8997323854
MICEX,60,20110114,130000,1737.5500000,1740.9000000,1731.8600000,1740.8200000,6768265785
MICEX,60,20110114,140000,1740.8800000,1741.0400000,1736.2900000,1740.3600000,3157456970
