<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MICEX,60,20070109,100000,1664.4900000,1664.4900000,1617.8800000,1626.8300000,0
MICEX,60,20070109,110000,1626.7600000,1634.7300000,1626.4100000,1634.0900000,0
MICEX,60,20070109,120000,1634.1000000,1634.1200000,1616.9700000,1617.3600000,0
MICEX,60,20070109,130000,1617.3800000,1618.7800000,1607.2500000,1613.0100000,0
MICEX,60,20070109,140000,1613.0600000,1615.5200000,1599.8700000,1599.8700000,0
MICEX,60,20070109,150000,1599.8300000,1599.8300000,1584.9900000,1585.3300000,0
MICEX,60,20070109,160000,1585.4200000,1587.1200000,1567.7100000,1573.3800000,0
MICEX,60,20070109,170000,1573.3400000,1588.7700000,1573.2300000,1583.0700000,0
MICEX,60,20070109,180000,1583.0700000,1583.6700000,1571.5900000,1571.5900000,0
MICEX,60,20070110,100000,1571.9100000,1578.8500000,1557.3000000,1565.2900000,0
MICEX,60,20070110,110000,1565.2900000,1580.6200000,1564.2800000,1578.4800000,0
MICEX,60,20070110,120000,1578.4800000,1578.5900000,1557.6800000,1562.0200000,0
MICEX,60,20070110,130000,1561.9600000,1563.1800000,1547.2600000,1550.4200000,0
MICEX,60,20070110,140000,1550.4900000,1554.0200000,1528.8600000,1529.7200000,0
MICEX,60,20070110,150000,1529.7200000,1546.6400000,1529.7200000,1546.0400000,0
MICEX,60,20070110,160000,1546.0300000,1562.1000000,1541.0000000,1562.0000000,0
MICEX,60,20070110,170000,1562.0500000,1571.6500000,1557.3800000,1560.2500000,0
MICEX,60,20070110,180000,1560.2500000,1571.3200000,1555.9900000,1570.1800000,0
MICEX,60,20070111,100000,1568.1500000,1581.1700000,1556.5700000,1575.7300000,0
MICEX,60,20070111,110000,1575.7000000,1580.2300000,1568.3300000,1578.3200000,0
MICEX,60,20070111,120000,1578.2600000,1602.5400000,1577.6600000,1602.1400000,0
MICEX,60,20070111,130000,1602.2800000,1608.1800000,1590.3500000,1593.3100000,0
MICEX,60,20070111,140000,1593.3100000,1595.5800000,1590.0900000,1590.3300000,0
MICEX,60,20070111,150000,1590.3200000,1591.4700000,1574.9400000,1581.1300000,0
MICEX,60,20070111,160000,1581.1300000,1586.0400000,1577.6700000,1584.1600000,0
MICEX,60,20070111,170000,1584.1300000,1597.8600000,1582.6400000,1595.3100000,0
MICEX,60,20070111,180000,1595.3300000,1603.0700000,1595.1100000,1599.7400000,0
MICEX,60,20070112,100000,1593.2800000,1595.1500000,1587.0200000,1595.0400000,0
MICEX,60,20070112,110000,1594.9600000,1602.8500000,1594.2000000,1596.8600000,0
MICEX,60,20070112,120000,1596.8600000,1598.5600000,1592.9200000,1596.5000000,0
MICEX,60,20070112,130000,1596.5000000,1601.2400000,1595.1100000,1599.9800000,0
MICEX,60,20070112,140000,1599.9800000,1602.7600000,1598.3500000,1598.9700000,0
MICEX,60,20070112,150000,1598.9800000,1599.0100000,1589.3300000,1589.3500000,0
MICEX,60,20070112,160000,1589.3600000,1590.3200000,1581.3100000,1586.9300000,0
MICEX,60,20070112,170000,1587.0100000,1596.0600000,1584.2800000,1595.9900000,0
MICEX,60,20070112,180000,1596.0000000,1597.1800000,1591.2000000,1591.6100000,0
MICEX,60,20070115,100000,1593.8800000,1621.6500000,1593.8800000,1620.8800000,0
MICEX,60,20070115,110000,1620.8700000,1631.9400000,1619.6200000,1631.2500000,0
MICEX,60,20070115,120000,1631.2200000,1631.2200000,1625.1800000,1626.1900000,0
MICEX,60,20070115,130000,1626.2400000,1627.0500000,1618.5100000,1620.2900000,0
MICEX,60,20070115,140000,1620.2900000,1624.1600000,1619.8500000,1623.8500000,0
MICEX,60,20070115,150000,1623.8500000,1630.5800000,1623.8400000,1629.5500000,0
